"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Feb-2024","EQ","3,905.00","3,928.50","3,876.20","3,901.55","3,911.00","3,916.55","3,909.51","4,200.00","2,836.00","4,05,632","1,58,58,21,582.60","62,372"
"14-Feb-2024","EQ","3,833.00","3,932.35","3,726.60","3,854.20","3,896.75","3,901.55","3,864.10","4,200.00","2,836.00","9,19,714","3,55,38,70,827.00","1,05,130"
"13-Feb-2024","EQ","3,894.65","3,936.15","3,765.45","3,871.85","3,898.75","3,854.20","3,860.98","4,200.00","2,836.00","6,33,019","2,44,40,70,956.95","81,400"
"12-Feb-2024","EQ","3,869.90","3,903.05","3,817.20","3,840.95","3,873.95","3,871.85","3,867.38","4,200.00","2,836.00","2,37,343","91,78,96,016.75","33,346"
"09-Feb-2024","EQ","3,820.00","3,847.95","3,761.60","3,807.30","3,844.95","3,840.95","3,813.00","4,200.00","2,836.00","3,96,729","1,51,27,29,486.70","55,615"
"08-Feb-2024","EQ","3,953.00","3,957.30","3,791.75","3,927.65","3,811.00","3,807.30","3,838.61","4,200.00","2,836.00","4,04,899","1,55,42,47,655.50","82,388"
"07-Feb-2024","EQ","3,975.00","3,990.00","3,907.95","3,944.60","3,929.00","3,927.65","3,934.31","4,200.00","2,836.00","4,16,774","1,63,97,19,888.25","40,392"
"06-Feb-2024","EQ","3,900.00","3,950.75","3,890.00","3,889.95","3,946.00","3,944.60","3,924.27","4,200.00","2,836.00","4,70,713","1,84,72,02,742.20","45,743"
"05-Feb-2024","EQ","3,850.00","3,918.40","3,837.00","3,825.55","3,879.65","3,889.95","3,888.60","4,200.00","2,836.00","5,92,181","2,30,27,52,234.85","59,181"
"02-Feb-2024","EQ","3,900.00","3,900.00","3,811.25","3,933.20","3,835.00","3,825.55","3,847.61","4,200.00","2,836.00","8,72,011","3,35,51,62,051.05","81,485"
"01-Feb-2024","EQ","3,843.00","3,965.85","3,843.00","3,839.60","3,920.45","3,933.20","3,918.07","4,200.00","2,836.00","13,13,981","5,14,82,70,174.75","1,15,060"
"31-Jan-2024","EQ","3,716.00","3,852.15","3,701.10","3,704.75","3,841.35","3,839.60","3,802.62","4,200.00","2,836.00","7,59,817","2,88,92,95,734.30","73,482"
"30-Jan-2024","EQ","3,675.00","3,729.90","3,673.90","3,669.05","3,707.75","3,704.75","3,701.04","4,200.00","2,836.00","6,12,064","2,26,52,71,356.45","39,712"
"29-Jan-2024","EQ","3,621.10","3,681.00","3,590.05","3,616.45","3,666.00","3,669.05","3,657.10","4,200.00","2,836.00","9,36,432","3,42,46,24,140.85","43,433"
"25-Jan-2024","EQ","3,680.00","3,680.00","3,597.05","3,635.00","3,619.30","3,616.45","3,615.59","4,200.00","2,836.00","6,99,432","2,52,88,60,343.90","56,670"
"24-Jan-2024","EQ","3,629.00","3,648.95","3,562.45","3,616.70","3,640.00","3,635.00","3,597.04","4,200.00","2,836.00","13,18,897","4,74,41,28,476.60","72,066"
"23-Jan-2024","EQ","3,702.05","3,744.00","3,606.05","3,697.60","3,618.40","3,616.70","3,672.91","4,200.00","2,836.00","8,23,427","3,02,43,70,610.50","71,531"
"20-Jan-2024","EQ","3,709.90","3,737.90","3,675.10","3,699.45","3,700.00","3,697.60","3,705.72","4,200.00","2,836.00","1,22,046","45,22,67,893.45","16,904"
"19-Jan-2024","EQ","3,700.00","3,787.85","3,658.00","3,691.15","3,705.95","3,699.45","3,715.06","4,200.00","2,836.00","8,94,473","3,32,30,21,563.05","85,919"
"18-Jan-2024","EQ","3,751.10","3,761.55","3,661.00","3,751.10","3,685.00","3,691.15","3,701.83","4,200.00","2,836.00","5,83,931","2,16,16,11,237.95","79,649"
"17-Jan-2024","EQ","3,731.00","3,772.00","3,720.00","3,792.30","3,746.25","3,751.10","3,753.56","4,200.00","2,836.00","5,85,284","2,19,68,97,392.45","53,650"
"16-Jan-2024","EQ","3,790.00","3,828.10","3,741.50","3,832.10","3,795.00","3,792.30","3,789.06","4,200.00","2,836.00","5,19,197","1,96,72,68,702.60","59,571"
"15-Jan-2024","EQ","3,875.00","3,884.65","3,811.00","3,870.85","3,826.00","3,832.10","3,831.64","4,200.00","2,836.00","3,64,325","1,39,59,62,187.55","43,978"
"12-Jan-2024","EQ","3,890.20","3,899.00","3,850.00","3,888.80","3,870.45","3,870.85","3,869.57","4,200.00","2,836.00","2,20,410","85,28,90,915.75","32,505"
"11-Jan-2024","EQ","3,868.80","3,924.70","3,852.45","3,842.55","3,888.75","3,888.80","3,898.60","4,200.00","2,836.00","3,78,237","1,47,45,94,266.95","42,619"
"10-Jan-2024","EQ","3,870.45","3,873.00","3,790.65","3,870.45","3,845.00","3,842.55","3,824.04","4,200.00","2,836.00","5,77,499","2,20,83,78,352.00","49,261"
"09-Jan-2024","EQ","3,909.25","3,923.95","3,850.60","3,884.25","3,870.60","3,870.45","3,880.79","4,200.00","2,836.00","4,11,462","1,59,67,96,541.25","47,824"
"08-Jan-2024","EQ","3,890.00","3,960.40","3,877.50","3,877.05","3,887.80","3,884.25","3,910.69","4,200.00","2,836.00","4,01,263","1,56,92,16,581.45","41,991"
"05-Jan-2024","EQ","3,864.05","3,918.70","3,860.00","3,861.00","3,875.00","3,877.05","3,892.72","4,200.00","2,836.00","4,02,103","1,56,52,72,551.40","43,449"
"04-Jan-2024","EQ","3,887.50","3,915.00","3,848.50","3,887.60","3,858.95","3,861.00","3,864.83","4,200.00","2,836.00","4,25,702","1,64,52,65,115.15","56,191"
"03-Jan-2024","EQ","3,894.05","3,928.95","3,878.45","3,892.50","3,886.00","3,887.60","3,897.13","4,200.00","2,836.00","4,35,449","1,69,70,01,222.50","51,289"
"02-Jan-2024","EQ","4,010.10","4,010.75","3,882.35","4,038.35","3,894.00","3,892.50","3,921.33","4,200.00","2,836.00","12,21,148","4,78,85,22,572.15","1,07,350"
"01-Jan-2024","EQ","4,145.00","4,145.00","4,030.00","4,143.50","4,035.00","4,038.35","4,060.34","4,200.00","2,836.00","7,63,454","3,09,98,83,270.05","65,959"
"29-Dec-2023","EQ","4,099.95","4,178.00","4,094.00","4,091.90","4,132.00","4,143.50","4,127.17","4,200.00","2,836.00","6,73,952","2,78,15,15,084.85","73,437"
"28-Dec-2023","EQ","4,120.00","4,130.00","4,080.90","4,120.00","4,095.70","4,091.90","4,098.37","4,200.00","2,836.00","4,50,475","1,84,62,12,353.95","51,992"
"27-Dec-2023","EQ","4,068.00","4,134.95","4,042.10","4,040.40","4,101.20","4,120.00","4,080.71","4,200.00","2,836.00","3,85,941","1,57,49,14,140.55","55,793"
"26-Dec-2023","EQ","4,024.80","4,069.65","4,012.00","4,006.05","4,040.00","4,040.40","4,046.41","4,200.00","2,836.00","4,75,107","1,92,24,76,596.95","41,985"
"22-Dec-2023","EQ","3,983.00","4,016.95","3,948.20","3,957.95","4,002.00","4,006.05","3,985.61","4,200.00","2,836.00","3,09,907","1,23,51,69,504.70","44,510"
"21-Dec-2023","EQ","3,900.00","4,007.90","3,847.55","3,912.40","3,963.85","3,957.95","3,944.46","4,200.00","2,836.00","4,45,648","1,75,78,41,172.50","59,359"
"20-Dec-2023","EQ","4,074.75","4,132.45","3,891.70","4,039.65","3,905.00","3,912.40","4,029.63","4,200.00","2,836.00","5,57,214","2,24,53,64,079.10","56,864"
"19-Dec-2023","EQ","4,094.80","4,109.55","4,022.40","4,085.50","4,048.80","4,039.65","4,045.43","4,200.00","2,836.00","3,28,368","1,32,83,91,342.95","38,640"
"18-Dec-2023","EQ","4,076.00","4,165.00","4,068.50","4,059.90","4,071.95","4,085.50","4,114.38","4,200.00","2,836.00","8,86,620","3,64,78,92,649.00","53,342"
